ID,Район,Улица,Комнаты,Площадь,Этаж,Серия,Цена за м2,Цена,Ссылка
tr_57326173,Вецмилгравис,Рупницас 6,3,82,1/2,Сталинка,512 €,"42,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/vecmilgravis/beipdf.html
tr_57326127,Иманта,Прогреса 4,2,49,5/5,Лит. пр.,1120 €,"54,900  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/aiecn.html
tr_57158642,Тейка,Ропажу 14b,3,69,6/10,Нов.,2753 €,"190,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/teika/kphnj.html
tr_57326055,р-н ул.Краста,Зилупес 16,2,50,5/9,467-я,1300 €,"65,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/krasta-st-area/dcnbk.html
tr_57054708,Югла,Тирзас 3,-,110,1/6,Хрущ.,318 €,"35,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/yugla/ixibb.html
tr_57132224,Межциемс,Эйзенштейна 79,3,53,9/9,602-я,1245 €,"66,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/mezhciems/ammkn.html
tr_57182502,Гризинькалнс,Лабораторияс 24,2,45,2/5,Дов. дом,1933 €,"86,990  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/grizinkalns/ceelil.html
tr_57068431,центр,Чака 78,1,22,1/2,Нов.,2636 €,"58,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/ahpgc.html
tr_57068497,центр,Чака 78,2,46,1/4,Нов.,2700 €,"124,200  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/abhmm.html
tr_56728281,центр,Барона 60,3,73,2/3,Дов. дом,2397 €,"175,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/dbcce.html
tr_57325688,Иманта,Даммес 8,3,63,1/9,602-я,1428 €,"90,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/alccp.html
tr_57020343,Пурвциемс,Стирну 13d,2,47,4/5,Лит. пр.,1034 €,"48,620  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/docmm.html
tr_57290943,Иманта,Курземес пр. 50,2,50,5/5,Лит. пр.,1150 €,"57,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/fkenk.html
tr_57134746,центр,Чака 133A,1,34,4/6,Дов. дом,1213 €,"41,260  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/dcjcc.html
tr_57244703,Дарзциемс,Ситас 50,1,42,1/5,М. сем.,880 €,"37,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/darzciems/agebi.html
tr_56927007,Шампетерис-Плескодале,Лиелирбес 9a,2,42,4/4,Рекон.,2547 €,"107,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/shampeteris-pleskodale/cxdfi.html
tr_56933709,Агенскалнс,Лиелирбес 9a,2,42,4/4,Рекон.,2547 €,"107,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/idcxe.html
tr_57133499,центр,Чака 133,1,34,4/6,Дов. дом,1213 €,"41,260  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/becnfo.html
tr_57309330,центр,Таллинас 1,2,62,2/6,Нов.,2295 €,"142,300  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/agkko.html
tr_57320202,Вецмилгравис,Вецмилгравья 9 k2,3,45,3/4,Хрущ.,1044 €,"47,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/vecmilgravis/bekihd.html
tr_57325189,р-он ул. Латгалес,Католю 9,2,41,2/5,Рекон.,1580 €,"64,800  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/maskavas-priekshpilseta/bcogxl.html
